element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
V,1,4881.9105,,4881.9105,0.0007
Ti,1,4882.270,0.003,4882.2706,0.0014
Th,2,4882.469,0.003,4882.4666,0.0003
Zr,1,4882.60,0.10,,
V,1,4882.9198,0.0015,4882.9203,0.0004
Fe,1,4883.0809,0.0007,4883.0807,0.0003
Th,2,4883.2765,0.0019,4883.27393,0.00021
Fe,1,4883.5066,0.0007,4883.5064,0.0003
V,1,4883.530,0.002,4883.5298,0.0010
Ti,1,4883.688,0.003,4883.6908,0.0021
Th,2,4883.8099,0.0004,4883.81004,0.00012
Ce,2,4883.82,0.10,4883.826+,0.003
Ti,1,4883.993,0.003,4883.9901,0.0007
V,1,4884.523,0.003,4884.5209,0.0017
Zr,1,4884.96,0.10,,
Th,2,4885.0132,0.0021,4885.0136,0.0004
Cr,1,4885.47,0.03,4885.4761,0.0017
Th,2,4886.0473,0.0019,4886.0482,0.0004
Ti,1,4886.183,0.003,4886.1932,0.0024
Cr,1,4886.3026,0.0013,4886.30363,0.00021
Ti,1,4886.445,0.003,4886.4437,0.0019
Na,2,4886.76,0.10,,
Fe,1,4886.7946,0.0007,4886.7945,0.0003
Th,2,4886.893,0.003,4886.88467,0.00014
Th,2,4886.9046,0.0007,4886.90449,0.00010
V,1,4887.008,0.002,4887.0089,0.0010
Cr,1,4887.1338,0.0007,4887.13482,0.00019
Cr,1,4887.316,0.002,4887.3179,0.0003
Ti,1,4887.337,0.003,4887.3319,0.0014
Th,2,4887.3489,0.0005,4887.34888,0.00010
Pr,2,4887.410,0.010,4887.40+,0.03
Y,1,4887.656,0.010,4887.6560,0.0013
Fe,1,4887.6961,0.0007,4887.6957,0.0003
Fe,1,,,4887.9322,0.0003
Y,1,4888.005,0.010,4888.0036,0.0005
V,1,4888.172,0.002,4888.1718,0.0007
Cr,1,4888.3771,0.0007,4888.3772,0.0003
Fe,1,4888.5584,0.0007,4888.5580,0.0003
Fe,1,4888.730,0.004,4888.7317,0.0003
Cr,1,4889.0565,0.0017,4889.0581,0.0003
Ag,1,4889.58,0.10,4889.58,0.48
Fe,1,4889.627,0.005,4889.6210,0.0003
Th,2,4889.730,0.003,4889.73666,0.00012
Th,2,4889.863,0.003,4889.86193,0.00014
Cr,1,4889.8876,0.0017,4889.89019,0.00019
Fe,1,4890.0018,0.0007,4890.0014,0.0003
Ti,1,4890.078,0.003,4890.0757,0.0017
Fe,1,4890.3665,0.0007,4890.3661,0.0003
Nd,2,4890.47,0.10,4890.467+,0.003
