element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Cr,1,5168.625,0.002,5168.6243,0.0003
Ni,1,5168.66,0.10,,
Fe,1,5168.8978,0.0008,5168.8973,0.0004
V,1,5169.055,0.003,5169.0566,0.0013
Fe,1,5169.298,0.004,5169.2985,0.0006
Th,2,5169.684,0.004,5169.69138,0.00022
Dy,2,5169.69,0.10,,
V,1,5169.923,0.002,5169.9235,0.0011
Th,2,5170.2227,0.0003,5170.22273,0.00006
Ti,1,5170.521,0.003,5170.5222,0.0024
Ru,1,5171.03,0.10,5171.02+,0.04
Mo,1,5171.064,0.010,5171.066+,0.004
Mo,1,5171.240,0.010,5171.241+,0.004
Fe,1,5171.314,0.004,5171.3165,0.0024
Fe,1,5171.5960,0.0008,5171.5961,0.0004
Fe,1,5171.6728,0.0008,5171.6718,0.0004
V,1,5172.088,0.003,5172.0884,0.0008
Mg,1,,,5172.684,0.010
Mg,1,5172.6843,0.0010,5172.6844,0.0010
Dy,2,5172.90,0.10,,
La,2,5172.91,0.10,5172.91+,0.04
Th,2,5172.9175,0.0005,5172.91757,0.00007
Mo,1,5172.940,0.010,5172.942+,0.004
Fe,1,5173.1249,0.0021,5173.1236,0.0004
Fe,1,5173.503,0.004,5173.5016,0.0008
Ti,1,5173.740,0.003,5173.7431,0.0008
La,2,5173.84,0.10,5173.79+,0.04
Pr,2,5173.90,0.10,5173.90+,0.04
Mo,1,5174.180,0.010,5174.182+,0.004
V,1,5174.518,0.004,5174.5149,0.0011
Sn,1,5174.5348,0.0013,5174.5326,0.0020
Th,2,5174.5776,0.0024,5174.57689,0.00011
Th,2,5175.073,0.004,5175.07286,0.00011
Cu,1,5175.60,0.06,5175.60,0.06
Gd,2,5176.28,0.10,,
V,1,5176.479,0.003,5176.4775,0.0011
Ni,1,5176.56,0.10,5176.560,0.010
Th,2,5176.7290,0.0008,5176.73133,0.00008
V,1,5176.7657,0.0018,5176.7652,0.0013
Th,2,5177.0803,0.0005,5177.07933,0.00014
Th,2,5177.097,0.004,5177.09106,0.00024
Fe,1,5177.2337,0.0021,5177.2327,0.0004
Cr,1,5177.4019,0.0008,5177.4018,0.0004
Cr,1,5177.811,0.004,5177.8126,0.0004
V,1,5178.522,0.003,5178.5229,0.0008
Ti,1,5178.649,0.003,5178.6517,0.0011
Fe,1,5178.8002,0.0021,5178.8006,0.0004
Zr,1,5178.99,0.10,,
V,1,5179.070,0.003,5179.0705,0.0011
Ni,1,,,5179.122,0.010
V,1,5179.800,0.005,5179.7990,0.0008
Th,2,5179.999,0.003,5179.9953,0.0003
V,1,5180.719,0.003,5180.7200,0.0008
Nd,2,5181.165,0.010,5181.169+,0.004
Th,2,5181.308,0.003,5181.3152,0.0005
Zn,1,5181.9819,0.0006,5181.9819,0.0006
Th,2,5181.9878,0.0008,5181.98759,0.00011
Fe,1,5182.223,0.005,5182.2196,0.0008
Th,2,5182.52695,0.00021,5182.52695,0.00019
Nd,2,5182.603,0.010,5182.587+,0.004
V,1,5182.798,0.003,5182.7994,0.0011
Ti,1,5183.177,0.003,5183.1791,0.0013
Th,2,5183.2901,0.0008,5183.28953,0.00008
Cr,1,5183.3984,0.0013,5183.39873,0.00022
La,2,5183.42,0.10,5183.41+,0.04
Mg,1,,,5183.604,0.010
Mg,1,5183.6042,0.0010,5183.6043,0.0010
Zr,1,5183.70,0.10,,
Ti,1,5183.809,0.003,5183.8102,0.0011
Th,2,5183.98965,0.00022,5183.98961,0.00007
Yb,2,5184.15,0.10,,
Fe,1,5184.1757,0.0022,5184.1763,0.0004
Fe,1,5184.2657,0.0008,5184.2658,0.0004
Cr,1,5184.5564,0.0005,5184.5565,0.0003
U,2,5184.57,0.10,,
Th,2,5184.6388,0.0006,5184.63893,0.00014
Th,2,5184.7315,0.0004,5184.73132,0.00008
Fe,1,5185.7257,0.0022,5185.7247,0.0004
Th,2,5186.094,0.003,5186.0936,0.0003
Ti,1,5186.328,0.003,5186.3252,0.0011
Zr,1,5187.03,0.10,,
Gd,2,5187.24,0.10,,
Ce,2,5187.46,0.10,5187.458+,0.004
Th,2,5187.4677,0.0003,5187.46778,0.00008
Ni,1,,,5187.820,0.010
Ti,1,5187.886,0.007,5187.9063,0.0019
Fe,1,5187.9138,0.0008,5187.9142,0.0004
La,2,5188.22,0.10,5188.21+,0.04
Th,2,5188.3656,0.0004,5188.36564,0.00008
Dy,2,5188.45,0.10,,
Ti,1,5188.832,0.003,5188.823,0.003
V,1,5188.849,0.006,5188.8528,0.0006
Ca,1,5188.85,0.10,5188.844,0.010
Er,2,5188.90,0.10,,
Ti,1,5189.578,0.003,5189.5785,0.0013
Th,2,5189.6772,0.0004,5189.67722,0.00014
Ho,2,5190.11,0.10,,
V,1,5190.682,0.005,5190.6843,0.0013
V,1,5190.682,0.005,5190.7239,0.0008
Th,2,5190.87201,0.00019,5190.87207,0.00006
Gd,2,5191.08,0.10,,
Pr,2,5191.32,0.10,5191.27+,0.04
Pr,2,5191.32,0.10,5191.32+,0.04
Nd,2,5191.448,0.010,5191.440+,0.004
Mo,1,5191.454,0.010,5191.456+,0.004
Fe,1,5191.4546,0.0008,5191.4542,0.0004
Ce,2,5191.66,0.10,5191.633+,0.004
V,1,5191.992,0.002,5191.9920,0.0011
Cr,1,5191.9947,0.0005,5191.9951,0.0003
Fe,1,5192.3439,0.0008,5192.3434,0.0004
Nd,2,5192.621,0.010,5192.614+,0.004
Dy,2,5192.86,0.10,,
Ti,1,5192.969,0.003,5192.9686,0.0011
V,1,5192.984,0.002,5192.9840,0.0011
